QGPIORecord, QRC v6.1.0, 21-12-2021 @ 00:30:15, Windows 10 Version 2009, 10.0.19042, x86_64
Time, y1, y2, x1, x2, x3, P11, P12, P22, P13, P23, P33, ValueIn11
959910, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
959920, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
959930, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
959940, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
959950, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
959961, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
959970, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
959980, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
959990, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960001, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960010, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960020, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960030, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960040, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960050, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960060, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960070, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960080, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960090, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960100, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960110, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960120, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960131, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960140, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960150, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960160, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960171, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960180, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960190, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960200, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960210, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960220, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960230, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960240, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960250, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960261, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960270, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960280, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960290, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960301, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960310, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960320, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960330, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960340, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960350, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960360, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960370, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960380, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
